date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,month,season,renovated,basement
2014-12-09,538000,3,2.25,2570,7242,2.0,0,0,3,7,2170,400,1951,1991.0,98125,47.721000000000004,-122.319,1690,7639,12,winter,1,1
2014-12-09,604000,4,3.0,1960,5000,1.0,0,0,5,7,1050,910,1965,0.0,98136,47.5208,-122.39299999999999,1360,5000,12,winter,0,1
2015-02-18,510000,3,2.0,1680,8080,1.0,0,0,3,8,1680,0,1987,0.0,98074,47.6168,-122.045,1800,7503,2,winter,0,0
2014-05-12,1230000,4,4.5,5420,101930,1.0,0,0,3,11,3890,1530,2001,0.0,98053,47.6561,-122.005,4760,101930,5,spring,0,1
2014-06-27,257500,3,2.25,1715,6819,2.0,0,0,3,7,1715,0,1995,0.0,98003,47.3097,-122.32700000000001,2238,6819,6,summer,0,0
2015-04-15,229500,3,1.0,1780,7470,1.0,0,0,3,7,1050,730,1960,0.0,98146,47.5123,-122.337,1780,8113,4,spring,0,1
2015-03-12,323000,3,2.5,1890,6560,2.0,0,0,3,7,1890,0,2003,0.0,98038,47.3684,-122.031,2390,7570,3,spring,0,0
2014-05-27,468000,2,1.0,1160,6000,1.0,0,0,4,7,860,300,1942,0.0,98115,47.69,-122.292,1330,6000,5,spring,0,1
2014-10-07,400000,3,1.75,1370,9680,1.0,0,0,4,7,1370,0,1977,0.0,98074,47.6127,-122.045,1370,10208,10,fall,0,0
2015-03-12,530000,5,2.0,1810,4850,1.5,0,0,3,7,1810,0,1900,0.0,98107,47.67,-122.39399999999999,1360,4850,3,spring,0,0
2015-01-24,650000,4,3.0,2950,5000,2.0,0,3,3,9,1980,970,1979,0.0,98126,47.5714,-122.375,2140,4000,1,winter,0,1
2014-07-31,395000,3,2.0,1890,14040,2.0,0,0,3,7,1890,0,1994,0.0,98019,47.7277,-121.962,1890,14018,7,summer,0,0
2014-05-29,485000,4,1.0,1600,4300,1.5,0,0,4,7,1600,0,1916,0.0,98103,47.6648,-122.34299999999999,1610,4300,5,spring,0,0
2014-12-05,189000,2,1.0,1200,9850,1.0,0,0,4,7,1200,0,1921,0.0,98002,47.3089,-122.21,1060,5095,12,winter,0,0
2015-04-24,230000,3,1.0,1250,9774,1.0,0,0,4,7,1250,0,1969,0.0,98003,47.3343,-122.306,1280,8850,4,spring,0,0
2014-05-14,385000,4,1.75,1620,4980,1.0,0,0,4,7,860,760,1947,0.0,98133,47.7025,-122.34100000000001,1400,4980,5,spring,0,1
2014-08-26,2000000,3,2.75,3050,44867,1.0,0,4,3,9,2330,720,1968,0.0,98040,47.5316,-122.23299999999999,4110,20336,8,summer,0,1
2014-07-03,285000,5,2.5,2270,6300,2.0,0,0,3,8,2270,0,1995,0.0,98092,47.3266,-122.169,2240,7005,7,summer,0,0
2014-11-20,329000,3,2.25,2450,6500,2.0,0,0,4,8,2450,0,1985,0.0,98030,47.3739,-122.17200000000001,2200,6865,11,fall,0,0
2014-11-03,233000,3,2.0,1710,4697,1.5,0,0,5,6,1710,0,1941,0.0,98002,47.3048,-122.21799999999999,1030,4705,11,fall,0,0
2014-12-01,667000,3,1.0,1400,1581,1.5,0,0,5,8,1400,0,1909,0.0,98112,47.6221,-122.314,1860,3861,12,winter,0,0
2015-03-02,719000,4,2.5,2570,7173,2.0,0,0,3,8,2570,0,2005,0.0,98052,47.7073,-122.11,2630,6026,3,spring,0,0
2014-11-10,580500,3,2.5,2320,3980,2.0,0,0,3,8,2320,0,2003,0.0,98027,47.5391,-122.07,2580,3980,11,fall,0,0
